insn,Ptype,Etype,0,1,2,3,in1,in2,in3,out,CR in,CR out
lwarx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
ldx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lwzx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lbarx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
ldarx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lbzx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lharx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lhzx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lwax,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lhax,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
ldbrx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lwbrx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lwzcix,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lhbrx,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lhzcix,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lbzcix,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
ldcix,2P,EXTRA2,d:RT,s:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
stwu,2P,EXTRA2,d:RA,s:RS,s:RA,,RA_OR_ZERO,,RS,,,
stbu,2P,EXTRA2,d:RA,s:RS,s:RA,,RA_OR_ZERO,,RS,,,
sthu,2P,EXTRA2,d:RA,s:RS,s:RA,,RA_OR_ZERO,,RS,,,
stdu,2P,EXTRA2,d:RA,s:RS,s:RA,,RA_OR_ZERO,,RS,,,
ldux,2P,EXTRA2,d:RT,d:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lwzux,2P,EXTRA2,d:RT,d:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lbzux,2P,EXTRA2,d:RT,d:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lhzux,2P,EXTRA2,d:RT,d:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lwaux,2P,EXTRA2,d:RT,d:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
lhaux,2P,EXTRA2,d:RT,d:RA,s:RB,,RA_OR_ZERO,RB,,RT,,
stdux,2P,EXTRA2,d:RA,"s:RS,s:RA",s:RB,,RA_OR_ZERO,RB,RS,,,
stwux,2P,EXTRA2,d:RA,"s:RS,s:RA",s:RB,,RA_OR_ZERO,RB,RS,,,
stbux,2P,EXTRA2,d:RA,"s:RS,s:RA",s:RB,,RA_OR_ZERO,RB,RS,,,
sthux,2P,EXTRA2,d:RA,"s:RS,s:RA",s:RB,,RA_OR_ZERO,RB,RS,,,
