insn,Ptype,Etype,0,1,2,3,in1,in2,in3,out,CR in,CR out
stdx,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stwx,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stbx,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
sthx,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stdbrx,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stwbrx,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stwcix,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
sthbrx,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
sthcix,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stbcix,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stdcix,2P,EXTRA2,s:RS,s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,
stwcx,2P,EXTRA2,"s:RS,d:CR0",s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,CR0
stdcx,2P,EXTRA2,"s:RS,d:CR0",s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,CR0
stbcx,2P,EXTRA2,"s:RS,d:CR0",s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,CR0
sthcx,2P,EXTRA2,"s:RS,d:CR0",s:RA,s:RB,,RA_OR_ZERO,RB,RS,,,CR0
