insn,Ptype,Etype,0,1,2,3
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
isel,1P,EXTRA2,d:RT,s:RA,s:RB,s:BC
fmsubs,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fmadds,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fnmsubs,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fnmadds,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fsel,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fmsub,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fmadd,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fnmsub,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
fnmadd,1P,EXTRA2,"d:FRT,d:CR1",s:FRA,s:FRB,s:FRC
