opcode,unit,internal op,in1,in2,in3,out,CR in,CR out,inv A,inv out,cry in,cry out,ldst len,BR,sgn ext,upd,rsrv,32b,sgn,rc,lk,sgl pipe
0b0100001010,ALU,OP_ADD,RA,RB,NONE,RT,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,add
0b1100001010,ALU,OP_ADD,RA,RB,NONE,RT,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,addo
0b0000001010,ALU,OP_ADD,RA,RB,NONE,RT,0,0,0,0,ZERO,1,NONE,0,0,0,0,0,0,RC,0,0,addc
0b1000001010,ALU,OP_ADD,RA,RB,NONE,RT,0,0,0,0,ZERO,1,NONE,0,0,0,0,0,0,RC,0,0,addco
0b0010001010,ALU,OP_ADD,RA,RB,NONE,RT,0,0,0,0,CA,1,NONE,0,0,0,0,0,0,RC,0,0,adde
0b1010001010,ALU,OP_ADD,RA,RB,NONE,RT,0,0,0,0,CA,1,NONE,0,0,0,0,0,0,RC,0,0,addeo
0b0011101010,ALU,OP_ADD,RA,CONST_M1,NONE,RT,0,0,0,0,CA,1,NONE,0,0,0,0,0,0,RC,0,0,addme
0b1011101010,ALU,OP_ADD,RA,CONST_M1,NONE,RT,0,0,0,0,CA,1,NONE,0,0,0,0,0,0,RC,0,0,addmeo
0b0011001010,ALU,OP_ADD,RA,NONE,NONE,RT,0,0,0,0,CA,1,NONE,0,0,0,0,0,0,RC,0,0,addze
0b1011001010,ALU,OP_ADD,RA,NONE,NONE,RT,0,0,0,0,CA,1,NONE,0,0,0,0,0,0,RC,0,0,addzeo
0b0000011100,ALU,OP_AND,NONE,RB,RS,RA,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,and
0b0000111100,ALU,OP_AND,NONE,RB,RS,RA,0,0,1,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,andc
0b0011111100,,,,,,,,,,,,,,,,,,,,,,,bperm
0b0000000000,ALU,OP_CMP,RA,RB,NONE,NONE,0,1,1,0,ONE,0,NONE,0,0,0,0,0,1,NONE,0,0,cmp
0b0111111100,ALU,OP_CMPB,NONE,RB,RS,RA,0,1,0,0,ZERO,0,NONE,0,0,0,0,0,0,NONE,0,0,cmpb
0b0011100000,,,,,,,,,,,,,,,,,,,,,,cmpeqb
0b0000100000,ALU,OP_CMP,RA,RB,NONE,NONE,0,1,1,0,ONE,0,NONE,0,0,0,0,0,0,NONE,0,0,cmpl
0b0011000000,,,,,,,,,,,,,,,,,,,,,,,cmprb
0b0000111010,ALU,OP_CNTZ,NONE,NONE,RS,RA,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,cntlzd
0b0000011010,ALU,OP_CNTZ,NONE,NONE,RS,RA,0,0,0,0,ZERO,0,NONE,0,0,0,0,1,0,RC,0,0,cntlzw
0b1000111010,ALU,OP_CNTZ,NONE,NONE,RS,RA,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,cnttzd
0b1000011010,ALU,OP_CNTZ,NONE,NONE,RS,RA,0,0,0,0,ZERO,0,NONE,0,0,0,0,1,0,RC,0,0,cnttzw
0b1011110011,,,,,,,,,,,,,,,,,,,,,,,darn
0b0001010110,ALU,OP_NOP,NONE,NONE,NONE,NONE,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,NONE,0,1,dcbf
0b0000110110,ALU,OP_NOP,NONE,NONE,NONE,NONE,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,NONE,0,1,dcbst
0b0100010110,ALU,OP_NOP,NONE,NONE,NONE,NONE,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,NONE,0,1,dcbt
0b0011110110,ALU,OP_NOP,NONE,NONE,NONE,NONE,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,NONE,0,1,dcbtst
0b1111110110,,,,,,,,,,,,,,,,,,,,,,,dcbz
0b0110001001,ALU,OP_DIVE,RA,RB,NONE,RT,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,divdeu
0b1110001001,ALU,OP_DIVE,RA,RB,NONE,RT,0,0,0,0,ZERO,0,NONE,0,0,0,0,0,0,RC,0,0,divdeuo
0b0110001011,ALU,OP_DIVE,RA,RB,NONE,RT,0,0,0,0,ZERO,0,NONE,0,0,0,0,1,0,RC,0,0,divweu
