Idx,SPR
1,XER
3,DSCR
8,LR
9,CTR
13,AMR
17,DSCR
18,DSISR
19,DAR
22,DEC
26,SRR0
27,SRR1
28,CFAR
29,AMR
48,PIDR
61,IAMR
128,TFHAR
129,TFIAR
130,TEXASR
131,TEXASRU
136,CTRL
144,TIDR
152,CTRL
153,FSCR
157,UAMOR
158,GSR
159,PSPB
176,DPDES
180,DAWR0
186,RPR
187,CIABR
188,DAWRX0
190,HFSCR
256,VRSAVE
259,SPRG3
268,TB
269,TBU
272,SPRG0
273,SPRG1
274,SPRG2
275,SPRG3
283,CIR
284,TBL
285,TBU
286,TBU40
287,PVR
304,HSPRG0
305,HSPRG1
306,HDSISR
307,HDAR
308,SPURR
309,PURR
310,HDEC
313,HRMOR
314,HSRR0
315,HSRR1
318,LPCR
319,LPIDR
336,HMER
337,HMEER
338,PCR
339,HEIR
349,AMOR
446,TIR
464,PTCR
768,SIER
769,MMCR2
770,MMCRA
771,PMC1
772,PMC2
773,PMC3
774,PMC4
775,PMC5
776,PMC6
779,MMCR0
780,SIAR
781,SDAR
782,MMCR1
784,SIER
785,MMCR2
786,MMCRA
787,PMC1
788,PMC2
789,PMC3
790,PMC4
791,PMC5
792,PMC6
795,MMCR0
796,SIAR
797,SDAR
798,MMCR1
800,BESCRS
801,BESCRSU
802,BESCRR
803,BESCRRU
804,EBBHR
805,EBBRR
806,BESCR
808,reserved
809,reserved8
810,reserved
811,reserved
815,TAR
816,ASDR
823,PSSCR
848,IC
849,VTB
855,PSSCR
896,PPR
898,PPR32
1023,PIR
