in1,in2,in3,out,CR in,CR out,ldst len,BR,rc,lk
NONE,CONST,NONE,NONE,NONE,NONE,NONE,0.0,NONE,1.0
NONE,CONST,REG,REG,NONE,1,NONE,0.0,RC,0.0
NONE,CONST,REG,REG,NONE,NONE,NONE,0.0,RC,0.0
NONE,NONE,NONE,NONE,1,1,NONE,0.0,NONE,0.0
NONE,NONE,NONE,NONE,NONE,NONE,NONE,0.0,NONE,0.0
NONE,NONE,NONE,NONE,NONE,NONE,NONE,0.0,RC,0.0
NONE,NONE,NONE,REG,1,NONE,NONE,0.0,NONE,0.0
NONE,NONE,NONE,REG,NONE,NONE,NONE,0.0,NONE,0.0
NONE,REG,NONE,NONE,NONE,NONE,NONE,0.0,NONE,0.0
NONE,REG,REG,REG,NONE,1,NONE,0.0,RC,0.0
NONE,REG,REG,REG,NONE,NONE,NONE,0.0,RC,0.0
REG,CONST,NONE,NONE,NONE,1,NONE,0.0,NONE,0.0
REG,CONST,NONE,NONE,NONE,NONE,NONE,0.0,NONE,0.0
REG,CONST,NONE,REG,NONE,1,NONE,0.0,NONE,0.0
REG,CONST,NONE,REG,NONE,1,NONE,0.0,ONE,0.0
REG,CONST,NONE,REG,NONE,1,NONE,0.0,RC,0.0
REG,CONST,NONE,REG,NONE,NONE,1,0.0,NONE,0.0
REG,CONST,NONE,REG,NONE,NONE,NONE,0.0,NONE,0.0
REG,CONST,REG,NONE,NONE,NONE,1,0.0,NONE,0.0
REG,CONST,REG,REG,NONE,1,NONE,0.0,RC,0.0
REG,CONST,REG,REG,NONE,NONE,NONE,0.0,RC,0.0
REG,NONE,NONE,NONE,1,1,NONE,0.0,NONE,0.0
REG,NONE,NONE,NONE,NONE,NONE,NONE,0.0,NONE,0.0
REG,NONE,NONE,REG,NONE,1,1,0.0,RC,0.0
REG,NONE,NONE,REG,NONE,1,NONE,0.0,RC,0.0
REG,NONE,NONE,REG,NONE,NONE,1,0.0,NONE,0.0
REG,NONE,NONE,REG,NONE,NONE,NONE,0.0,RC,0.0
REG,REG,NONE,NONE,NONE,1,NONE,0.0,NONE,0.0
REG,REG,NONE,NONE,NONE,NONE,NONE,0.0,NONE,0.0
REG,REG,NONE,REG,1,NONE,NONE,0.0,NONE,0.0
REG,REG,NONE,REG,NONE,1,NONE,0.0,RC,0.0
REG,REG,NONE,REG,NONE,NONE,1,0.0,NONE,0.0
REG,REG,NONE,REG,NONE,NONE,1,1.0,NONE,0.0
REG,REG,NONE,REG,NONE,NONE,NONE,0.0,NONE,0.0
REG,REG,REG,NONE,NONE,1,1,0.0,RC,0.0
REG,REG,REG,NONE,NONE,NONE,1,0.0,NONE,0.0
REG,REG,REG,NONE,NONE,NONE,1,1.0,NONE,0.0
